PlaceReference,Status,Name,Address,LGA
600258,Entered,"Doggetts Cottage","33 Arthur Street, Fortitude Valley","Brisbane City Council"
602460,Entered,"Dornoch Terrace Bridge","Dornoch Terrace, West End","Brisbane City Council"
601722,Entered,"Double Island Point Lightstation","Double Island Point, Double Island Point","Gympie Regional Council"
601681,Entered,"Dr EA Koch Memorial","Abbot Street, Cairns","Cairns Regional Council"
601359,Entered,"Dr Ludwig Becker's Grave","Bulloo River, Thargomindah","Bulloo Shire Council"
602718,Entered,"Drayton and Toowoomba Cemetery","cnr South Street and Anzac Avenue, Harristown, Toowoomba","Toowoomba Regional Council"
650246,Entered,"Drayton State School","55 Brisbane Street, Drayton","Toowoomba Regional Council"
602024,Entered,"Drew Residence (former)","20 Wharf Street, Shorncliffe","Brisbane City Council"
602797,Entered,"Drill Shed, Caretaker's Cottage and Orderly Room (former), Water Street","342 Water Street, Fortitude Valley","Brisbane City Council"
600885,Entered,"Drystone Wall, Melton Hill, Townsville","2-4 Cleveland Terrace, Townsville","Townsville City Council"
650097,Entered,"Duaringa State School","Charlotte Street, Duaringa","Central Highlands Regional Council"
601522,Entered,"Dularcha Railway Tunnel","1.5 km south of Mooloolah township, Mooloolah","Sunshine Coast Regional Council"
600045,Entered,Dunaverty,"21 Birkbeck Street, Albion","Brisbane City Council"
602695,Entered,"Dunethin Rock","Dunethin Rock Road, Maroochy River","Sunshine Coast Regional Council"
600773,Entered,"Dunwich Cemetery","Bingle Road, Dunwich, North Stradbroke Island","Redland City Council"
601021,Entered,"Dunwich Convict Causeway","Junner Street, Dunwich, North Stradbroke Island","Redland City Council"
650087,Entered,"Dutton Park State School","112 Annerley Road, Dutton Park","Brisbane City Council"
602012,Entered,"Dux Hut","Dux Anchorage, South Stradbroke Island","Gold Coast City Council"
602195,Entered,"Eagle Farm Racecourse and Ascot Railway Station","230 Lancaster Road, Ascot","Brisbane City Council"
600186,Entered,"Eagle Farm Women's Prison and Factory Site","116 Lamington Avenue, Eagle Farm","Brisbane City Council"
602440,Entered,"Eagle Street Fig Trees","118A Eagle Street, Brisbane City","Brisbane City Council"
600087,Entered,"Eagle Street Fountain","118 Eagle Street, Brisbane City","Brisbane City Council"
650263,Entered,"Eagles Nest Camp, Redwood Park","Old Toll Bar Road, Redwood","Toowoomba Regional Council"
601731,Entered,"Early Granite Kerb and Channel System, Cooktown","Adelaide, Charlotte, Furneaux, Green, Helen, Hogg, Hope and Walker Streets and Webber Esplanade, Cooktown","Cook Shire Council"
645611,Entered,"Early Streets of Brisbane","Sections of Albert St, George St, William St, North Quay, Queen's Wharf Rd, Adelaide St, Burnett Lane, Elizabeth St, Charlotte St, Margaret St and Alice St, Brisbane City","Brisbane City Council"
601476,Entered,"East Brisbane State School","90 Wellington Road, East Brisbane","Brisbane City Council"
602727,Entered,"East Gordon Street Sewerage Works","38 East Gordon Street, Mackay","Mackay Regional Council"
600369,Entered,"East Water Tower","17 Sussex Street, Bundaberg","Bundaberg Regional Council"
601858,Entered,"Ebagoola Township and Battery","TO BE DETERMINED, Coen","Cook Shire Council"
602433,Entered,"Ebbw Vale Memorial Park","Brisbane Road, Ebbw Vale","Ipswich City Council"
602801,Entered,"ED Miles Mining Exchange (former)","65 Mosman Street, Charters Towers","Charters Towers Regional Council"
600467,Entered,"Eden House Restaurant","20 Gillies Highway, Yungaburra","Tablelands Regional Council"
600489,Entered,"Eidsvold Homestead","Eidsvold Road, Eidsvold","North Burnett Regional Council"
602586,Entered,"Einasleigh Copper Mine and Smelter","Daintree Road, Einasleigh","Etheridge Shire Council"
602331,Entered,"Einasleigh Hotel","Daintree Street, Einasleigh","Etheridge Shire Council"
601633,Entered,"El Arish","94 Greenup Street, Stanthorpe","Southern Downs Regional Council"
602390,Entered,"El Nido","194 Kingsford Smith Drive, Hamilton","Brisbane City Council"
600322,Entered,"Elder Smith Woolstore","64 Macquarie Street, Teneriffe","Brisbane City Council"
600966,Entered,"Elderslie Homestead","Winton - Boulia Road, Winton","Winton Shire Council"
602762,Entered,"Elgin Vale Sawmill","Manumbar Road, Elgin Vale","Gympie Regional Council"
600617,Entered,"Ellwood & Co Drapery (former)","62 Churchill Street, Childers","Bundaberg Regional Council"
601326,Entered,Elphin,"24 Anzac Avenue, Newtown","Toowoomba Regional Council"
600490,Entered,"Emerald Railway Station Complex","Clermont Street (Capricorn Highway), Emerald","Central Highlands Regional Council"
600199,Entered,"Empire Hotel","339 Brunswick Street, Fortitude Valley","Brisbane City Council"
600978,Entered,"Empire Theatre (former)","56 Neil Street, Toowoomba","Toowoomba Regional Council"
650071,Entered,"Endrim and the Woodstock Road Tram Shed and Track","28 Woodstock Road, Toowong","Brisbane City Council"
600695,Entered,"Engineers' Arms Hotel (former)","115 March Street, Maryborough","Fraser Coast Regional Council"
602458,Entered,"Enoggera Reservoir","30 & 50 Mt Nebo Road, Enoggera Reservoir","Brisbane City Council"
650085,Entered,"Enoggera State School","235 South Pine Road, Enoggera","Brisbane City Council"
650228,Entered,"Ernest Junction Railway Tunnel","797 Ashmore Road, Molendinar","Gold Coast City Council"
600494,Entered,"Esk War Memorial and Esk Memorial Park","Ipswich Street, Esk","Somerset Regional Council"
600706,Entered,Eskdale,"53 Pallas Street, Maryborough","Fraser Coast Regional Council"
600187,Entered,Eskgrove,"56 Laidlaw Parade, East Brisbane","Brisbane City Council"
601637,Entered,"Etheridge Railway","Railway stations at Mount Surprise, Einasleigh and Forsayth, and railway reserve between Mount Surprise and Forsayth, including siding at Wirra Wirra, Forsayth","Etheridge Shire Council"
600391,Entered,"Eton Vale Homestead Ruins","New England Highway, Cambooya","Toowoomba Regional Council"
600269,Entered,Eulalia,"75 McIllwraith Avenue, Norman Park","Brisbane City Council"
601658,Entered,"Eumundi School of Arts","Memorial Drive, Eumundi","Sunshine Coast Regional Council"
601122,Entered,"Eumundi War Memorial","Memorial Drive, Eumundi","Sunshine Coast Regional Council"
600923,Entered,"Eureka Hotel (former)","Thornton Gap Road, Hervey Range","Charters Towers Regional Council"
600809,Entered,"Evans & Hearn","206 Quay Street, Rockhampton","Rockhampton Regional Council"
602138,Entered,"Evelyn Scrub War Memorial","Jonsson Road, Evelyn","Tablelands Regional Council"
601319,Entered,"Exchange Building","245-253 Margaret Street, Toowoomba","Toowoomba Regional Council"
600653,Entered,"Exchange Hotel","134 - 138 Patrick Street, Laidley","Lockyer Valley Regional Council"
600754,Entered,"Explosives Magazine and Detonator Store (former)","Magazine Street, Stratford","Cairns Regional Council"
602519,Entered,"Expo 88 Nepalese Peace Pagoda","South Bank Parklands, South Brisbane","Brisbane City Council"
601647,Entered,"Fachwerk Farmhouse","445 - 469 Beenleigh Redland Bay Rd, Carbrook","Logan City Council"
602105,Entered,Fairview,"15 Porter's Lane, Maleny","Sunshine Coast Regional Council"
600600,Entered,"Fairy Knoll","2A Robertson Road, Eastern Heights","Ipswich City Council"
601009,Entered,"Fairymead House","Thornhill Street, Bundaberg","Bundaberg Regional Council"
602814,Entered,"Fallon House","1 Maryborough Street, Bundaberg","Bundaberg Regional Council"
600975,Entered,"False Cape Second World War Defence Facility","Yarrabah Road, East Trinity","Cairns Regional Council"
600111,Entered,"Family Services Building","171 George Street, Brisbane City","Brisbane City Council"
602798,Entered,"Fantome Island Lock Hospital and Lazaret Sites (former)","Fantome Island, Palm Island","Palm Island Aboriginal Shire Council"
600046,Entered,"Farrington House","39 David Street, Alderley","Brisbane City Council"
602675,Entered,"Fassifern Homestead","1008B Boonah-Fassifern Road, Kalbar","Scenic Rim Regional Council"
601053,Entered,"FDA Carstens Memorial","Macrossan Street, Port Douglas","Douglas Shire Council"
600622,Entered,"Federal Hotel","71 Churchill Street, Childers","Bundaberg Regional Council"
650078,Entered,Feniton,"388 Bowen Terrace, New Farm","Brisbane City Council"
601374,Entered,Fernleigh,"73 Shore Street East, Cleveland","Redland City Council"
600843,Entered,Fernside,"4-6 Fernside Street, Toowoomba","Toowoomba Regional Council"
600422,Entered,"Ferrari Estates Building","Charlotte Street, Cooktown","Cook Shire Council"
602385,Entered,"Fig Tree","Roseberry Street, Gladstone","Gladstone Regional Council"
600985,Entered,"Finch Hatton Railway Station","Mackay-Eungella Road, Finch Hatton","Mackay Regional Council"
600723,Entered,"Finch Hatton War Memorial","Anzac Parade, Finch Hatton","Mackay Regional Council"
645609,Entered,"First Brisbane Burial Ground","18 Eagle Terrace, Brisbane City","Brisbane City Council"
650017,Entered,"First Church of Christ, Scientist, Brisbane","273 North Quay, Brisbane City","Brisbane City Council"
601926,Entered,"First Free Settlers Monument","Sandgate Road, Nundah","Brisbane City Council"
600117,Entered,"First World War Honour Board","142 George Street, Brisbane City","Brisbane City Council"
600152,Entered,"First World War Honour Board","308 Queen Street, Brisbane City","Brisbane City Council"
601859,Entered,"Fischerton Water Race","Tate-Almaden Road, Chillagoe","Mareeba Shire Council"
602541,Entered,"Flecker Botanical Gardens","Collins Avenue, Edge Hill","Cairns Regional Council"
601487,Entered,"Flemington Road Cemetery","Flemington Road, Bowen","Whitsunday Regional Council"
602738,Entered,Floriana,"183-185 The Esplanade, Cairns","Cairns Regional Council"
600556,Entered,"Flour Mill","231 Brisbane Street, Ipswich","Ipswich City Council"
600652,Entered,"Forest Hill Hotel","38 William Street, Forest Hill","Lockyer Valley Regional Council"
602851,Entered,"Forest Hill State School","15 Church Street, Forest Hill","Lockyer Valley Regional Council"
600649,Entered,"Forest Hill War Memorial","Gordon Street, Forest Hill","Lockyer Valley Regional Council"
601662,Entered,"Foresters' Hall","16 Latrobe Terrace, Paddington","Brisbane City Council"
600568,Entered,"Former Council Offices, Brisbane Street Ipswich","Brisbane Street, Ipswich","Ipswich City Council"
602560,Entered,"Former Dispenser's House, Diamantina Hospital","Cornwall Street, Woolloongabba","Brisbane City Council"
602147,Entered,"Former North Ward Defence Complex, Townsville","46 Oxley Street, North Ward","Townsville City Council"
600158,Entered,"Former Queensland Country Life Building façade","424-426 Queen Street, Brisbane City","Brisbane City Council"
600059,Entered,"Former Queensland Government Offices (Anzac Square Building)","255 Ann Street, Brisbane City","Brisbane City Council"
601142,Entered,"Former RS Exton and Co Building (Part)","333 Ann Street, Brisbane City","Brisbane City Council"
602141,Entered,"Former Springbrook State School (QPWS Information Centre)","2873 Springbrook Road, Springbrook","Gold Coast City Council"
601102,Entered,"Former Underground Hospital, Mount Isa","Camooweal Street, Mount Isa","Mount Isa City Council"
600303,Entered,"Former Victoria Bridge Abutments","74 Stanley Street, South Brisbane","Brisbane City Council"
600876,Entered,"Fort Complex Magnetic Island","East side of island, Magnetic Island","Townsville City Council"
602559,Entered,"Fort Cowan Cowan (Cowan Cowan Battery)","30 Jessie Wadsworth Street, Moreton Island","Brisbane City Council"
600248,Entered,"Fort Lytton","160 South Street, Lytton","Brisbane City Council"
650253,Entered,"Fortitude Valley Air Raid Shelters","East Street and Wickham Street, Fortitude Valley","Brisbane City Council"
602788,Entered,"Fortitude Valley Child Health Centre","112 Alfred Street, Fortitude Valley","Brisbane City Council"
601168,Entered,"Fortitude Valley Police Station","119 Brookes Street, Fortitude Valley","Brisbane City Council"
600198,Entered,"Fortitude Valley Post Office (former)","740 Ann Street, Fortitude Valley","Brisbane City Council"
602136,Entered,"Fortitude Valley State School (former)","95 Brookes Street, Fortitude Valley","Brisbane City Council"
601259,Entered,"Fossey's Store, Charters Towers","18 Gill Street, Charters Towers","Charters Towers Regional Council"
602441,Entered,"Francis Lookout","157 Dewar Terrace, Corinda","Brisbane City Council"
600728,Entered,"Franklyn Vale Homestead","Franklin Vale Road, Grandchester","Ipswich City Council"
602075,Entered,"Fraser family grave site and memorial, Hornet Bank","Hornet Bank Road, Taroom","Banana Shire Council"
600739,Entered,"Freckleton's Stores","Barkly Street, Camooweal","Mount Isa City Council"
601341,Entered,"Friend Park and Graves","Friend Street, Barney Point","Gladstone Regional Council"
602208,Entered,"Fulton Residence","209 Indooroopilly Road, Taringa","Brisbane City Council"
600654,Entered,"G Wyman Building","140 - 142 Patrick Street, Laidley","Lockyer Valley Regional Council"
600840,Entered,Gabbinbar,"344-376 Ramsay Street, Toowoomba","Toowoomba Regional Council"
602429,Entered,"Gair Park","181 Annerley Road, Dutton Park","Brisbane City Council"
602591,Entered,"Gairloch Bridge","Old Bruce Highway, Ingham","Hinchinbrook Shire Council"
601696,Entered,"Gallop Botanic Reserve, incorporating Cooktown Botanic Gardens","Finch Bay Road, Cooktown","Cook Shire Council"
600137,Entered,Gardams,"114 Queen Street, Brisbane City","Brisbane City Council"
601627,Entered,"Garners Beach Burial Ground","142 Garners Beach Road, Bingil Bay","Cassowary Coast Regional Council"
600599,Entered,Garowie,"59 Whitehill Road, Eastern Heights","Ipswich City Council"
600342,Entered,"Gas Stripping Tower","277 Montague Road, West End","Brisbane City Council"
600718,Entered,"Gataker's Warehouse Complex","106-108 Wharf Street & 310 Kent Street, Maryborough","Fraser Coast Regional Council"
600628,Entered,"Gaydon's Buildings","88-90 Churchill Street, Childers","Bundaberg Regional Council"
602514,Entered,"Gayndah Racecourse","Fisher Avenue, Gayndah","North Burnett Regional Council"
602124,Entered,"Gayndah Shire Hall","32-34 Capper Street, Gayndah","North Burnett Regional Council"
600516,Entered,"Gayndah State School","33 Meson Street, Gayndah","North Burnett Regional Council"
600517,Entered,"Gayndah War Memorial","32-34 Capper Street, Gayndah","North Burnett Regional Council"
650096,Entered,"Geebung State School","250 Newman Road, Geebung","Brisbane City Council"
600867,Entered,Geeumbi,"1 South Street, Rangeville, Toowoomba","Toowoomba Regional Council"
600683,Entered,"General Grant Mine and Winding Plant","Off Dimbulah - Mount Mulligan Road, Kingsborough","Mareeba Shire Council"
601651,Entered,"Gin Gin Railway Station and Complex","Mulgrave Street, Gin Gin","Bundaberg Regional Council"
600579,Entered,"Ginn Cottage","1 Ginn Street, Ipswich","Ipswich City Council"
602001,Entered,"Gladstone Central State School, Block B","94 Auckland Street, Gladstone","Gladstone Regional Council"
601332,Entered,"Gladstone Court House (former)","16 Yarroon Street, Gladstone","Gladstone Regional Council"
601303,Entered,"Gladstone House and Cottage","1B-3 Gladstone Street, Toowoomba","Toowoomba Regional Council"
601331,Entered,"Gladstone Post Office (former)","33 Goondoon Street, Gladstone","Gladstone Regional Council"
601333,Entered,"Gladstone Regional Art Gallery and Museum","144 Goondoon Street, Gladstone","Gladstone Regional Council"
602494,Entered,"Glass House Mountains National Park and Beerburrum Forest Reserve 1","Glasshouse Mountains","Sunshine Coast Regional Council"
602389,Entered,"Glassford Creek Smelter Sites","off Many Peaks Road, Many Peaks","Gladstone Regional Council"
600842,Entered,"Glen Alpine","32-36 East Street, Toowoomba","Toowoomba Regional Council"
600049,Entered,"Glen Lyon","34 Glenlyon Drive, Ashgrove","Brisbane City Council"
600735,Entered,Glendalough,"96 John Street, Rosewood","Ipswich City Council"
600007,Entered,"Glengallan Homestead","New England Highway, Glengallan","Southern Downs Regional Council"
600222,Entered,Glengariff,"5 Derby Street, Hendra","Brisbane City Council"
600386,Entered,"Glengarry Homestead","Gladstone-Monto Road, Gladstone","Gladstone Regional Council"
600823,Entered,"Glenmore Homestead","46-48 Belmont Road, Parkhurst","Rockhampton Regional Council"
601505,Entered,"Glennie Hall","66 Albion Street, Warwick","Southern Downs Regional Council"
600287,Entered,Glentworth,"34 Howard Street, Paddington","Brisbane City Council"
600262,Entered,Glenugie,"186 Moray Street, New Farm","Brisbane City Council"
645605,Entered,"Golden Gate Mining and Town Complex","Normanton (Gulf Development) Road, Croydon","Croydon Shire Council"
601489,Entered,"Goldsbrough Mort Building (Former), Quay Street, Rockhampton","238 Quay Street, Rockhampton","Rockhampton Regional Council"
600323,Entered,"Goldsbrough Mort Woolstore","88 Macquarie Street, Teneriffe","Brisbane City Council"
601966,Entered,"Gona Barracks","3,7,12, 25 & 26 Gona Parade, Kelvin Grove","Brisbane City Council"
600593,Entered,Gooloowan,"43 Quarry Street, Ipswich","Ipswich City Council"
600826,Entered,"Goombungee War Memorial","Hartwig Street, Goombungee","Toowoomba Regional Council"
600641,Entered,"Goomeri Hall of Memory","Boonara Street, Goomeri","Gympie Regional Council"
600642,Entered,"Goomeri War Memorial Clock","Burnett Highway, Goomeri","Gympie Regional Council"
600531,Entered,"Goondiwindi Civic Centre","100 Marshall Street, Goondiwindi","Goondiwindi Regional Council"
600532,Entered,"Goondiwindi War Memorial","Marshall Street, Goondiwindi","Goondiwindi Regional Council"
601860,Entered,"Gordon's Mine and Mill","TO BE DETERMINED, To Be Identified","Cook Shire Council"
600716,Entered,"Government Bond Store (former)","Wharf Street, Maryborough","Fraser Coast Regional Council"
600275,Entered,"Government House","170 Fernberg Road, Paddington","Brisbane City Council"
600114,Entered,"Government Printing Office (former)","110 George Street and 84 William Street, Brisbane City","Brisbane City Council"
601307,Entered,"Gowrie House","112 Mary Street, Toowoomba","Toowoomba Regional Council"
600508,Entered,"Gracemere Homestead","234 Gracemere Road, Gracemere","Rockhampton Regional Council"
602443,Entered,"Graceville Memorial Park","173 Oxley Road, Graceville","Brisbane City Council"
602717,Entered,"Graceville Railway Station","110 Long Street, Graceville","Brisbane City Council"
601584,Entered,"Graceville Uniting Church Complex","215 Oxley Road, Graceville","Brisbane City Council"
600608,Entered,"Grand Hotel","106-110 Churchill Street, Childers","Bundaberg Regional Council"
600743,Entered,"Grand Hotel","39 Central Street, Mount Morgan","Rockhampton Regional Council"
600729,Entered,"Grandchester Railway Complex","Ipswich Road, Grandchester","Ipswich City Council"
600730,Entered,"Grandchester Sawmills","Symes Street, Grandchester","Ipswich City Council"
600924,Entered,"Grandstand, former totalisator building and main entrance gates, Cluden Racecourse","1 Racecourse Road, Townsville","Townsville City Council"
600771,Entered,"Grandview Hotel","49 North Street, Cleveland","Redland City Council"
601668,Entered,Grangehill,"449 and 451 Gregory Terrace, Spring Hill","Brisbane City Council"
601241,Entered,"Grassy Hill Lighthouse","Grassy Hill, Cooktown","Cook Shire Council"
600908,Entered,"Great Northern Hotel","500 Flinders Street, Townsville","Townsville City Council"
600542,Entered,"Great Northern Mine (Herberton)","Off Jacks Road, Herberton","Tablelands Regional Council"
600987,Entered,"Greenmount Homestead","Greenmount Road, Walkerston","Mackay Regional Council"
600390,Entered,"Greenmount War Memorial","Ramsay Street, Greenmount","Toowoomba Regional Council"
600204,Entered,"Gregory Place & Gregory Hall","116-120 Brookes Street, Fortitude Valley","Brisbane City Council"
600017,Entered,"Greycliffe Homestead","48 Gladstone Road, Biloela","Banana Shire Council"
600230,Entered,Greylands,"47 Dennis Street, Indooroopilly","Brisbane City Council"
602551,Entered,Greystaines,"240 Kingsford Smith Drive, Hamilton","Brisbane City Council"
602832,Entered,"Grove Street Pensioners' Cottages","28D Grove Street, Parramatta Park","Cairns Regional Council"
600544,Entered,"Gunnawarra Homestead","Gunnawarra Road, Mount Garnet","Tablelands Regional Council"
602794,Entered,"Gympie Ambulance Station (former)","17 Crown Road, Gympie","Gympie Regional Council"
600535,Entered,"Gympie and Widgee War Memorial Gates","Mary Street, Gympie","Gympie Regional Council"
602778,Entered,"Gympie Court House and Lands Office (former)","26 Channon Street, Gympie","Gympie Regional Council"
600533,Entered,"Gympie Court House","Channon Street, Gympie","Gympie Regional Council"
600534,Entered,"Gympie Post Office (former)","Channon Street, Gympie","Gympie Regional Council"
602036,Entered,"Gympie Railway Station Platform Complex","Tozer Street, Gympie","Gympie Regional Council"
601910,Entered,"Gympie School of Arts","39 Nash Street, Gympie","Gympie Regional Council"
650064,Entered,"Gympie State High School","1 Everson Road, Gympie","Gympie Regional Council"
602789,Entered,"Gympie Town Hall Reserve Complex","2 Caledonian Hill, Gympie","Gympie Regional Council"
602749,Entered,"Habana Tramline Causeway and Wharf Site","Between Habana Wharf Road and Constant Creek, Mackay","Mackay Regional Council"
602807,Entered,"Haddon Corner","South-west Queensland, on the border corner with South Australia, Haddon Corner","Barcoo Shire Council"
601393,Entered,"Halse Lodge","17 Noosa Drive, Noosa Heads","Noosa Shire Council"
650088,Entered,"Hamilton State School","Oxford Street, Hamilton","Brisbane City Council"
602444,Entered,"Hamilton Town Hall","36-42 Racecourse Road, Hamilton","Brisbane City Council"
601789,Entered,"Hann Family Grave","Bluff Downs Station, Charters Towers","Charters Towers Regional Council"
601026,Entered,"Hanworth ","109 Lytton Road, East Brisbane","Brisbane City Council"
600816,Entered,"Harbour Board (former)","288 Quay Street, Rockhampton","Rockhampton Regional Council"
600624,Entered,"Hardware Store (former)","74-78 Churchill Street, Childers","Bundaberg Regional Council"
600138,Entered,"Hardy Brothers","116 Queen Street, Brisbane City","Brisbane City Council"
600839,Entered,"Harlaxton House","6 Munro Street, Harlaxton, Toowoomba","Toowoomba Regional Council"
650237,Entered,"Harris House","1 Clifford Street, Toowoomba","Toowoomba Regional Council"
600121,Entered,"Harris Terrace","68 George Street, Brisbane City","Brisbane City Council"
650037,Entered,"Harristown State High School","341-367 South Street, Harristown","Toowoomba Regional Council"
602212,Entered,"Hawthorne Ferry Terminal & Hardcastle Park","28 Gordon Street, Hawthorne","Brisbane City Council"
600125,Entered,"HB Sales Building","125 Margaret Street, Brisbane City","Brisbane City Council"
600013,Entered,"Head Teacher's Residence, Atherton State School (former)","42 Mable Street, Atherton","Tablelands Regional Council"
650230,Entered,"Heavy Anti-Aircraft Gun Station 385, Lytton","50 Pritchard Street, Lytton","Brisbane City Council"
600104,Entered,"Heckelmanns Building","171 Elizabeth Street, Brisbane City","Brisbane City Council"
602472,Entered,"Hefferan Park Air Raid Shelter","260 Annerley Road, Annerley","Brisbane City Council"
602467,Entered,"Heiner Road Railway Overpass","2 Downs Street, North Ipswich","Ipswich City Council"
600280,Entered,Hellesvere,"436 Upper Roma Street, Brisbane City","Brisbane City Council"
600221,Entered,"Hemmant Christian Community Church","69 Hemmant Road, Hemmant","Brisbane City Council"
602382,Entered,"Hemmant State School and Dumbarton","56 Hemmant-Tingalpa Road, Hemmant","Brisbane City Council"
600907,Entered,"Henlein & Co (Best & Less)","408-410 Flinders Street, Townsville","Townsville City Council"
600540,Entered,"Herberton School of Arts","61 Grace Street, Herberton","Tablelands Regional Council"
601788,Entered,"Herberton Uniting Church","2-4 Lillian Street, Herberton","Tablelands Regional Council"
600541,Entered,"Herberton War Memorial","Myers Street, Herberton","Tablelands Regional Council"
602137,Entered,"Herries Private Hospital","180 McLeod, Cairns North","Cairns Regional Council"
600190,Entered,"Hester Villa","58 Stafford Street, East Brisbane","Brisbane City Council"
601689,Entered,"Hibernian Hall","38-44 Hawthorne Street, Roma","Maranoa Regional Council"
600382,Entered,"Hides Hotel","87 Lake Street, Cairns","Cairns Regional Council"
600942,Entered,Hillside,"25 Weewondilla Road, Glennie Heights","Southern Downs Regional Council"
601059,Entered,"Hillyards Shop House","615 Stanley Street, Woolloongabba","Brisbane City Council"
600741,Entered,"Hodgkinson's Marked Tree","Rocklands Station, Mount Isa","Mount Isa City Council"
602445,Entered,"Holman Street Ferry Terminal","116 Holman Street, Kangaroo Point","Brisbane City Council"
600359,Entered,"Holy Cross Laundry","60 Bridge Street, Wooloowin","Brisbane City Council"
600208,Entered,"Holy Name Cathedral Site","Gipps Street, Fortitude Valley","Brisbane City Council"
600538,Entered,"Holy Trinity Anglican Church","38 Broadway Street, Herberton","Tablelands Regional Council"
601875,Entered,"Holy Trinity Anglican Church","68 Hawthorne Street, Woolloongabba","Brisbane City Council"
601111,Entered,"Holy Trinity Church Complex","39 Gordon Street, Mackay","Mackay Regional Council"
600202,Entered,"Holy Trinity Church","141 Brookes Street, Fortitude Valley","Brisbane City Council"
600874,Entered,"Holy Trinity Church","Saibai Island, Saibai Island","Torres Strait Island Regional Council"
600203,Entered,"Holy Trinity Parish Hall","141 Brookes Street, Fortitude Valley","Brisbane City Council"
600201,Entered,"Holy Trinity Rectory","141 Brookes Street, Fortitude Valley","Brisbane City Council"
601718,Entered,"Home Hill Powerhouse","First Avenue, Home Hill","Burdekin Shire Council"
600242,Entered,Home,"9 Leopard Street, Kangaroo Point","Brisbane City Council"
601705,Entered,"Homebush Mission Hall","Homebush Road, Homebush","Mackay Regional Council"
600439,Entered,"Homeward Bound Battery and Dam",Croydon,"Croydon Shire Council"
602346,Entered,"Hoop Pines","34 Strathpine Road, Bald Hills","Brisbane City Council"
601246,Entered,"Hornibrook Highway Bridge","Hornibrook Highway, Brighton","Brisbane City Council"
600603,Entered,"Hotel Cecil","15 Lowry Street, North Ipswich","Ipswich City Council"
600614,Entered,"Hotel Childers","59 Churchill Street, Childers","Bundaberg Regional Council"
601282,Entered,"Hotel Corones, Charleville","33 Wills Street, Charleville","Murweh Shire Council"
600696,Entered,"Hotel Francis (former)","310 Kent Street, Maryborough","Fraser Coast Regional Council"
600567,Entered,"Hotel Metropole","253 Brisbane Street, West Ipswich","Ipswich City Council"
600010,Entered,"Hou Wang Miau","Herberton Road, Atherton","Tablelands Regional Council"
601781,Entered,"Howard Smith Wharves","Boundary Street, Brisbane City","Brisbane City Council"
600545,Entered,"Howard War Memorial","William Street, Howard","Fraser Coast Regional Council"
600191,Entered,Hughesville,"2497 Logan Road, Eight Mile Plains","Brisbane City Council"
601775,Entered,"Hunter's Emporium (former)","86 McDowell Street, Roma","Maranoa Regional Council"
602833,Entered,"Hydrographic Survey Bench Mark, 1878, Bessie Point","Bessie Point, off Pine Creek-Yarrabah Road, East Trinity","Cairns Regional Council"
600572,Entered,Idavine,"2 Burnett Street, West Ipswich","Ipswich City Council"
600519,Entered,"Ideraway Creek Railway Bridge (Ideraway)","Mungar - Monto Line, Ideraway","North Burnett Regional Council"
600703,Entered,Ilfracombe,"335 Lennox Street, Maryborough","Fraser Coast Regional Council"
602791,Entered,"Imbil Railway Bridge","Over Yabba Creek, Imbil","Gympie Regional Council"
600446,Entered,"Imperial Hotel, Ravenswood","Macrossan Street, Ravenswood","Charters Towers Regional Council"
600170,Entered,Inchcolm,"73 Wickham Terrace, Spring Hill","Brisbane City Council"
650035,Entered,"Indooroopilly State High School","Ward Street, Indooroopilly","Brisbane City Council"
601062,Entered,"Industrial Ruins, south end of Macleay Island","Cliff Terrace, Macleay Island","Redland City Council"
601546,Entered,"Ingham Court House","35-39 Palm Terrace, Ingham","Hinchinbrook Shire Council"
602500,Entered,"Innisfail Court House (former)","40 Buckley Street, Yorkeys Knob","Cairns Regional Council"
601578,Entered,"Innisfail Court House","10 Edith Street, Innisfail","Cassowary Coast Regional Council"
602757,Entered,"Innisfail Water Tower","Mourilyan Street, East Innisfail","Cassowary Coast Regional Council"
600498,Entered,Inverness,"58 Fulham Street, Toogoolawah","Somerset Regional Council"
600574,Entered,"Ipswich & West Moreton Building Society","45 East Street, Ipswich","Ipswich City Council"
600578,Entered,"Ipswich Central Mission - Wesleyan Chapel","Ellenborough Street, Ipswich","Ipswich City Council"
600581,Entered,"Ipswich Club House","14 Gray Street, Ipswich","Ipswich City Council"
600575,Entered,"Ipswich Court House","75 East Street, Ipswich","Ipswich City Council"
600565,Entered,"Ipswich Girls' Grammar School","82 Chermside Road, Ipswich","Ipswich City Council"
600601,Entered,"Ipswich Grammar School","Woodend Road, Ipswich","Ipswich City Council"
650021,Entered,"Ipswich North State School","9 Fitzgibbon Street, North Ipswich","Ipswich City Council"
600605,Entered,"Ipswich Railway Workshops War Memorial","North Street, North Ipswich","Ipswich City Council"
602010,Entered,"Irlam's Ant Bed Building (former)","Clermont-Alpha Road Oaky Creek, 20km west of Clermont, Oaky Creek","Isaac Regional Council"
650060,Entered,"Ironside State School","378 Swann Road, St Lucia","Brisbane City Council"
601619,Entered,"Irvinebank School of Arts Hall","McDonald Street, Irvinebank","Mareeba Shire Council"
602850,Entered,"Irvinebank State School","High Street, Irvinebank","Mareeba Shire Council"
