Key,Item Type,Publication Year,Author,Title,Url,Abstract Note,Date,Short Title,Series,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Manual Tags,Automatic Tags,Medium,Artwork Size
DNW9QW7W,artwork,2019,"King, Barbara",Shark swimming pool,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/a3/bf/73/shark-swimming-pool.jpg?w=1400&h=-1&s=1,Shark pool was made from sections of railroad track,2019,Shark swimming pool,,Trip Advisor,72,Tripadvisor,Unknown,"<a href=""https://imgur.com/45PzUPZ""><img src=""https://i.imgur.com/45PzUPZ.jpg"" title=""source: imgur.com"" /></a> shark-swimming-pool.jpg (JPEG Image, 1400 × 692 pixels) – Scaled (75%)","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a rectangle in the water made up of posts of some sort. The posts are all the same dimensions, all the same width, etc. There are water level markings on the posts. There are gaps in the rectangular shape, I am not sure if it is for a reason or if the missing posts have rotted or broken away. I can’t be sure how deep the water is around the shape although there appears to be sand at the bottom left of the image.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/45PzUPZ.jpg"" alt="""" data-attachment-key=""FZJYHM84"" width=""1400"" height=""692""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There are five pylons that a bridge or jetty may have sat on. In the distance, there are some industrial and city-like buildings. There is also a large rectangular shape in the water, made up of steel from the tramway track, driven vertically into the sand (Whittington 28 August 2019).</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To share with others and make sure history is not forgotten.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is spontaneous, as a person was walking on a tour.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>The photo itself is modern. The photo is coloured and clear. It is hard to say, but before it closed in 1932. The poles look old but could just be worn from being in the salt water, near mangroves.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The swimming pool is in the foreground, the focus of the image. In the background are a body of water and a town or city. It is small on the horizon, showing how isolated the prisoners were.</p> </div>",C:\Users\Trudy\Zotero\storage\X6KZZ24L\K - 2019 - Shark swimming pool.html,Queensland; St Helena; Moreton Bay; prison; island; water; shark; cage; swim; danger; railroad; track; pool,,"photo, coloured",w361xh179
TGF2YKAM,artwork,1915,Brisbane City Council,"Sisal hemp, raspador, silos and old chimney, St Helena Penal Establishment",https://library-brisbane.ent.sirsidynix.net.au/client/en_AU/search/asset/23150/0,Prisoners are using a raspador on stems of sisal hemp to remove the pulp and produce the fibre which was used to make rope.   In the background are some fodder silos which are built into the ground to strengthen them.   The chimney in the middle was from the old sugar mill.   Government regulations did not allow photographing prisoners' faces.,1915,"Sisal hemp, raspador, silos and old chimney 1915",,Brisbane City Council,asset 23150,"Wynnum-Manly Local History/The beach, the creek and the bay",BCC-STH-63,"<a href=""https://imgur.com/AP5BE8m""><img src=""https://i.imgur.com/AP5BE8m.jpg"" title=""source: imgur.com"" /></a> BCC-STH-0063.jpg (JPEG Image, 5078 × 3896 pixels) – Scaled (13%)","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that two men are working. They are wearing similar clothes and are outdoors. The man at the rear seems to be holding a bucket. &nbsp;I can’t tell what is on the table in the foreground. </p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/AP5BE8m.jpg"" alt="""" data-attachment-key=""NT83UMZN"" width=""5078"" height=""3896""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There are two prisoners and there is a machine they are using that looks to be run by belts. There are two funny looking A shape buildings and a wooden building that has boards falling off the walls, leaving holes. A square, tall, brick structure rises above a small tank. Two canvas sheets seem to be laying around, but I can’t tell what is draped over one of them.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>It shows men working, not just sitting in cells, and they are not shackled up, which could be trying to show reformation is working. Propaganda for the prison, for funding, etc.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>Staged, I think. The machine’s belts are loose which would indicate it’s not working, as the belts would be tensioned if being used.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>It’s hard to tell from this photo what era it is from.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The men and machine are the focus of the image.</p> </div>","C:\Users\Trudy\Zotero\storage\BDBP2B3W\Brisbane City Council - 1915 - Sisal hemp, raspador, silos and old chimney, St He.html",Queensland; St Helena; Moreton Bay; prison; island; rope; sisal; work; labour; hemp; silo; grinding wheel,,"photo,  b&w",w233xh179
EDP2LRMP,artwork,1871,"Pascoe, W; Pascoe, F",Sketch of the interior of the sugar house at St. Helena,https://hdl.handle.net/10462/deriv/193649,"The penal settlement at St. Helena was converted into a sugar plantation and manufactory. (Description supplied with photograph.) Copied and digitised from an image in The Town and Country Journal Sydney: W & F Pascoe, 21 January 1871, page 77",1871,interior of the sugar house,,State Library of Queensland,21298027370002061; 99184004729102061,Brisbane John Oxley Library,Negative number: 21346,"<a href=""https://imgur.com/LaemuLa""><img src=""https://i.imgur.com/LaemuLa.png"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a cross-sectional sketch of a wooden building. It has a gable roof with ten windows. Sections B and C look to have heater coils. Sections A, B, and C appear to have pipes that run to or from something on the outside of the building labelled E. I am unsure what the things are labelled D.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/LaemuLa.png"" alt="""" data-attachment-key=""ZTXBVYMJ"" width=""817"" height=""733""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>a cross-sectional sketch of the inside of a sugar mill. It has a gable roof with ten windows. Sections B and C look to have heater coils. Sections A, B, and C appear to have pipes that run to or from something on the outside of the building labelled</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To show the workings of the mill or a plan for a new sugar mill.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is staged as it’s a photo of a sketch.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>If it is the original mill, then it would be around 1869, as that is when it was built Whittington 13 February 2021). From all accounts, the sugar production on St Helena was quite lucrative (Queensland Government 2015).</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>It is a sketch of the inside of a building so looks like the mill has been sliced down the middle.</p> </div>",C:\Users\Trudy\Zotero\storage\R9QHJBGZ\Pascoe and Pascoe - 1871 - Sketch of the interior of the sugar house at St. H.html,Queensland; St Helena; Moreton Bay; prison; island; export; work; labour; building; wooden; drawing; sugar; sketch,,pencil b&w,w1877xh518
QC33M7MJ,map,2015,"Queensland Parks and Wildlife Service, Department of National Parks, Sport and Racing",St Helena Island National Park map,https://parks.des.qld.gov.au/__data/assets/pdf_file/0015/160440/st_helena_map.pdf,"Contemporary map of Saint Helena Island, now a National Park. Shows the Location of key areas of interest.",2015,St Helena National Park map,,The Department of Environment and Science,MA287,Zotero,MA287,"<a href=""https://imgur.com/caaYaSX""><img src=""https://i.imgur.com/caaYaSX.png"" title=""source: imgur.com"" /></a> MA287","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a map from Queensland Government. It has a scale, north arrow, and legend with clearly interpreted icons. The map is well labelled, showing all key features, and indicates that the island is almost entirely surrounded by mangroves.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/caaYaSX.png"" alt="""" data-attachment-key=""RKWZ8DGA"" width=""473"" height=""675""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> </div>","C:\Users\Trudy\Zotero\storage\9PWE5RKS\Queensland Parks and Wildlife Service, Department of National Parks, Sport and Racing - 2015 - St Helena Island National Park map.pdf",NATIONAL parks & reserves; Queensland; St Helena; Moreton Bay; prison; island; stockade; buildings; map; diagram; pdf; national park; location; picnic,,,na
74E2ZLCL,artwork,2011,"Woods, Patricia",St Helena Island towards Manly,https://www.flickr.com/photos/patriciawoods/6092565622/in/photolist-ahnSgL-ahnZuS-aho1RS,"The crumbling ruins backed by the city of Brisbane, a different perspective from the one encountered by convicts and their warders many years ago. The ruins are in poor condition due to the materials from which the blocks were built so most of them have fences around them to stop tourists destroying them.",2011,St Helena Island Towards Manly,,Patricia Woods,Unknown,Flickr,Unknown,"<a href=""https://imgur.com/NgKR8R7""><img src=""https://i.imgur.com/NgKR8R7.png"" title=""source: imgur.com"" /></a> Canon 7D f/22 1/80 sec ISO 200","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is of a ruined building. The bright green grass and bright blue water look out of place against the crumbling building. There is a large body of water with a large town beyond that. </p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/NgKR8R7.png"" alt="""" data-attachment-key=""CQSGHJCF"" width=""1492"" height=""601""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>A ruined building, a body of water, a city or town, grass, trees, and a windmill. Bracing is holding up sections of the building.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To share with others and make sure history is not forgotten and show how isolated the prisoners were.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is spontaneous, as a person was walking on a tour.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>The photo itself is modern. It is coloured and clear. The building dates pre-1932.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>There is a large amount of grass in the foreground as they had to stand far enough back to get the full ruin into the shot. The city or town in the background is used as an interesting backdrop, or as a reflection of how far away from civilisation the island is.</p> </div>",,Brisbane: History; Brisbane; Queensland; St Helena; Moreton Bay; prison; island; buildings; contemporary; ruin; crumble; destroyed; brick; Manly,Aug-29,"photo, coloured",w1365xh549
TGPELSYE,artwork,2012,"Gray, Judi",St Helena original prison door and lock,http://beyondourpatch.blogspot.com/2012/05/tour-of-saint-helena-island-ex-convict.html,Tour of Saint Helena Island (Ex-Convict Prison) 04/05/12,2012,Prison door and lock,,Blogger,Beyond our patch,Blogger,Unknown,"<a href=""https://imgur.com/GOZBUvx""><img src=""https://i.imgur.com/GOZBUvx.jpg"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a dark timber door, bolted and padlocked shut. The door looks like a heavy door, solid timber possibly. As with everything else seen in the image, the padlock looks solid and of a large size. It all looks from an earlier time period. The keyhole is hidden beneath a movable metal piece on the body of the padlock.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/GOZBUvx.jpg"" alt="""" data-attachment-key=""XV8K63RS"" width=""1024"" height=""683""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There is a dark timber door, bolted and padlocked shut. The heavy steel bolt is attached to the door by large, thick rivets. The door also has solid-looking screws or similar. The padlock reads “Chubb London”.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To share with others and make sure history is not forgotten.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is spontaneous, as a person was walking on a tour.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>The photo itself is modern. The photo is coloured and clear. The padlock and door are from the turn of the century. Newer prisons would have had metal doors I think.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The focus is on the padlock and the locking bolt, showing how well-guarded the men were.</p> </div>",C:\Users\Trudy\Zotero\storage\BTVQRTSL\Gray - 2012 - St Helena original prison door and lock.html,Queensland; St Helena; Moreton Bay; prison; island; building; cell; door; lock; wooden; bolt; key,,"photo, coloured",w640xh426
5QSQKFQD,artwork,1914,"Irving, Andrew",St Helena Penal Establishment - new penitentiary,https://www.archivessearch.qld.gov.au/items/ITM328272,"Book of 17 plans, reduced scale from linen tracings - Public Works Department (II)",1914,St Helena -New penitentiary,,Queensland State Archives,PR328272,Prison Plans - Public Works,ITM328272,"<a href=""https://imgur.com/SSXRW5d""><img src=""https://i.imgur.com/SSXRW5d.png"" title=""source: imgur.com"" /></a> Previous System Identifiers PD85.4; RSI14379/1/164; A1 Item ID 328272","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a large compound. There are people around a tram at the elaborate entrance. It is hard to tell but I think there is a figure on a horse in the centre of the compound and some people to its left. This is a photo of a sketch.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/SSXRW5d.png"" alt="""" data-attachment-key=""ZX33TJMT"" width=""1230"" height=""660""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There are multiple storied buildings, a church, an industrial-looking building with smoke coming from a tall chimney, and lookout towers. The compound dominates the landscape with only a few small hills, palms, trees, and I think a watercourse.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To display plans for a new prison that would be made from brick instead of wood (Unknown 5 February 1914).</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is a plan.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>1914. You can tell not more modern because it doesn’t have razor wire.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The focus is on the plan of the prison. The background has some vegetation which may have been used to soften the image.</p> </div>",C:\Users\Trudy\Zotero\storage\EVYS39ZB\Irving - 1914 - St Helena Penal Establishment - New penitentiary.html,Queensland; St Helena; prison; island; building; plan; moreton; drawing; architect; publish; yards,,pencil b&w,w961xh688
LPKCRGTU,artwork,2016,"Levez, Jeanice",St Helena Penal Establishment prisoner cemetery information board.,http://www.australiancemeteries.com.au/qld/brisbane/st_helena/img_0389lge.jpg,Photo of an information board about the prisoner cemetery.,2016,Prisoner cemetery information board.,,Australian Cemeteries,Jeanice Levez,Australian Cemeteries,Unknown,"<a href=""https://imgur.com/M1deMvN""><img src=""https://i.imgur.com/M1deMvN.jpg"" title=""source: imgur.com"" /></a> the information board has been supplied by the QLD Government, Department of Environmental Protection Agency and QLD Parks and Wildlife Service.","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is an information sign from the Queensland Government. The information about who died and how is about prisoners buried in the prisoner cemetery. A prisoner by the name of Thomas Stapleton is used as an example. Prisoner crosses can be seen behind the sign, and the sign appears to be inside the white picket fence surrounding the cemetery.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/M1deMvN.jpg"" alt="""" data-attachment-key=""3SP7JB2K"" width=""2570"" height=""1646""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There is a coloured information board, grass, a white picket fence, and cement crosses.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To share with others and make sure history is not forgotten, and learn about the prisoners cemetery.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is spontaneous, as a person was walking on a tour.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>The photo itself is modern. The photo is coloured and clear. It must be post-December 1998 because the Queensland Parks and Wildlife Service was created (Queensland State Archives n.d.), and their name is on the board</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The sign is the focus.</p> </div>",C:\Users\Trudy\Zotero\storage\VJJA249H\Levez - 2016 - St Helena Penal Establishment Prisoner Cemetery in.html,information; Queensland; St Helena; cemetery; prisoner; Moreton Bay; island; sign; educate,,Photo,w600xh384
YX43KYVR,artwork,2019,"Jepson, Duncan",St Helena prison guide,https://www.google.com/maps/uv?pb=!1s0x6b93dfbbe18c8ef5%3A0x29c9140524331d61!3m1!7e164!15sCgIgAQ&hl=en&viewerState=ga&imagekey=!1e10!2sAF1QipO21QrDjYbvnrQZKn1onnMTkO7gHtuzoAE5VZwS,A guide to the prison layout,2019,St Helena prison guide,,Google Maps,Unknown,Duncan Jepson,Unknown,"<a href=""https://imgur.com/gUsgvVk""><img src=""https://i.imgur.com/gUsgvVk.png"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is an infographic information board. I can see it was issued by the Queensland Government. There is a little information about the prison, dates, and a map or plan of where key features can be found. They are clearly labelled and numbered, with a little information about each. The map shows the outline of the original prison, what is left, and where roads are/were located. I think it is a great way to show the before and after. I’m a visual person so it's great for me.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/gUsgvVk.png"" alt="""" data-attachment-key=""7N85YLB7"" width=""1722"" height=""853""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> </div>",C:\Users\Trudy\Zotero\storage\FJ7IPHYU\uv.html,information; Queensland; St Helena; Moreton Bay; prison; island; plan; site; directions; explain; map; sign,,"photo, coloured",w600xh384
R7AHQJKT,artwork,2017,"Toni, Daniele",St Helena prisoner grave,https://www.tripadvisor.com.au/Profile/Daniele_Toni?fid=d16d163e-93b4-474c-9c50-62304c1f6324,"Crosses contain only prison number so the prisoners remain nameless, even in death.",2017,St Helena prisoner grave,,Trip Advisor,Daniele_Toni,St Helena National Park,Unknown,"<a href=""https://imgur.com/0afl18D""><img src=""https://i.imgur.com/0afl18D.jpg"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a cross in a cemetery. The only identifying feature is a number, 574. No name, no age, no date of birth, or death date is shown. There are other crosses in the background which look to be identical. A white picket fence is in the background with an unrelated person.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/0afl18D.jpg"" alt="""" data-attachment-key=""C72ISX35"" width=""600"" height=""906""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>This is a cement cross in a cemetery. It has only the number 574. No name, no age, no date of birth, or death date is shown. There are other crosses in the background which look to be identical. A white picket fence is in the background with an unrelated person.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To share with others and make sure history is not forgotten and learn about life on St Helena. It could have also been taken to show the discrepancy in accounts of the crosses.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is spontaneous, as a person was walking on a tour.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>The photo itself is modern. Its coloured and clear. The crosses date to post 1928 as the crosses have been cement, with only numbers since at least 1928 (Unknown 7 April 1928). They were however made of timber, with identifying details such as name, age, and prisoner number in 1878 (Unknown 20 March 1878).</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>The cross in the foreground shows the prisoner’s number. There are other crosses in the background to show it is not alone. I think the photo is trying to make the scene less sombre.</p> </div>",C:\Users\Trudy\Zotero\storage\UAJJHDSK\Toni - 2017 - St Helena prisoner grave.html,Queensland; St Helena; cemetery; Moreton Bay; prison; island; prisoner number; cross; buried; no name; grave; died; 574,,"photo, coloured",w960xh186
C6PEKM7Y,artwork,1853,"Baron Douglas-Scott-Montagu, Henry John","St. Helena, Moreton Bay",https://nla.gov.au/nla.obj-134723485/view,"Montagu of Beaulieu, Henry John Douglas-Scott-Montagu, Baron, 1832-1905.",1853,Watercolour of St Helena,,National Library of Australia,obj-134723485.,NLA Digital Collection,PIC Drawer 65 #R3351,"<a href=""https://imgur.com/IoEOJ7h""><img src=""https://i.imgur.com/IoEOJ7h.png"" title=""source: imgur.com"" /></a>","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that it is a peaceful, tranquil setting.The colours are boring to me, it seems a little dull.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/IoEOJ7h.png"" alt="""" data-attachment-key=""J9MGDIF5"" width=""1138"" height=""342""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There is a dense forest with a small cluster of palm trees. There is water and sand.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>I cannot say what the context is. It is just a picture of a shore. There are no details to establish the purpose of the shot.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is neither. It is a painting so could be an image from the artist’s imagination, not necessarily a real place.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>I think it is an old painting. The colour of the edging looks old. It looks to have slight damage as well. The writing in the bottom right does not look modern.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>Sand, water, trees, and palms are in the foreground. Possibly to convey a beachy, tranquil scene. In the background are dense trees conveying that it is untouched, with no human contact.</p> </div>","C:\Users\Trudy\Zotero\storage\4K6TXXZC\Baron Douglas-Scott-Montagu - 1853 - St. Helena, Moreton Bay.html",St Helena Moreton Bay Island prison,,watercolour ; 7.8 x 27 cm.,w131xh44
B2K2H7TH,artwork,1937,Brisbane City Council,"Sugar mill, St Helena Island",https://library-brisbane.ent.sirsidynix.net.au/client/en_AU/search/asset/23408/0,"Photo from the collection of the first caretaker of the island in the 1930s, Mrs Alice Kelk and her husband Edward (Goog).   The declining days of the island's sugar and flax works.",1937,Sugar mill 1937,,Brisbane City Council,asset 23408,"Wynnum-Manly Local History/The beach, the creek and the bay",BCC-STH-3,"<a href=""https://imgur.com/PONw44g""><img src=""https://i.imgur.com/PONw44g.jpg"" title=""source: imgur.com"" /></a> BCC-STH-0003.jpg (JPEG Image, 5078 × 3188 pixels) – Scaled (16%)","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that the area around the brick building looks unkept, and I feel a little chaotic. I think this is a place of industry because of the large chimney and large circular item bottom center.</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/PONw44g.jpg"" alt="""" data-attachment-key=""YZTZMJHI"" width=""5078"" height=""3188""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There’s a brick building, a large brick chimney, a circular industrial piece, a wall, and bushes with dead limbs and rubble.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To show the sugar mill. I am not sure if this is the first or the second sugar mill, however, if it was the first one built, it was the first sugar mill built in QLD, so it is historic (Snow 1 November 1935).</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>It is hard to tell, it could be both.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>I cannot tell from this picture, except for maybe the round cylindrical item but I don’t know what it is.</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>It looks as though the vegetation is starting to grow up around the building and there is rubble and branches in the foreground. The mill and its components have all been framed in the shot.</p> </div>","C:\Users\Trudy\Zotero\storage\88XBSCSX\Brisbane City Council - 1937 - Sugar mill, St Helena Island, 1937.html",Queensland; St Helena; Moreton Bay; prison; Sugarcane industry; island; work; labour; building; mill,,"photo,  b&w",w285xh179
UWBA9PTS,artwork,1915,Brisbane City Council,"Tailor's shop, St Helena Penal Establishment",https://library-brisbane.ent.sirsidynix.net.au/client/en_AU/search/asset/23139/0,"Prison uniforms, police uniforms and other necessary sewing was done by prisoners. Note the prisoners on the sides sitting in the traditional cross legged position used by tailors.  Government regulations did not allow photographing prisoners' faces.",1915,Tailor's shop 1915.,,Brisbane City Council,asset 23139,"Wynnum-Manly Local History/The beach, the creek and the bay",BCC-STH-43,"<a href=""https://imgur.com/41RDCe1""><img src=""https://i.imgur.com/41RDCe1.jpg"" title=""source: imgur.com"" /></a> BCC-STH-0043.jpg (JPEG Image, 5078 × 3896 pixels) – Scaled (13%)","<div data-schema-version=""8""><h3>Initial reflection</h3> <p>My initial response to this image is: that the men are in a large wooden barn with windows near the roof. The men are sitting on the benches lining the barn, with similar clothes on, a uniform. I can make out numbers on the back of some men’s shirts. All the men in white are facing away from the camera. Men in dark clothes look at, and pose for, the camera. A smartly dressed man, in a bowler hat, three-piece suit, and cane/stick, poses halfway down the building. Another two figures stand in the distance, wearing dark clothes. A man in dark clothes in the foreground and to the right appears to be wearing an old police or military uniform. One of the people using a sewing machine is wearing dark clothes, and I think has hair up in a bun. Why would one woman be among all men, wearing different clothes?</p> </div>; <div data-schema-version=""8""><p>permalink</p> <p><img src=""https://i.imgur.com/41RDCe1.jpg"" alt="""" data-attachment-key=""PZNGDZZ3"" width=""5078"" height=""3896""></p> </div>; <div data-schema-version=""8""><h3>Structured reflection</h3> <p><u>What objects or physical features are in the image?</u></p> <p>There is an old iron, cloth or fabric bundles, prisoners, a warder, a smartly dressed man. There is a lot of fabric/cloth hanging from beams, an old-style iron on the table, and a row of early sewing machines, so these men must be tailors.</p> <p><u>What is the context of the image? Why was it taken?</u></p> <p>To report back or promote the work that the prisoners are doing. Free labour, making a profit for the penal establishment, everything, right down to making police uniforms (Whittington 13 February 2021). Propaganda for budgets. It shows men working, not just sitting in cells, and they are not shackled up, which could be trying to show reformation is working.</p> <p><u>Is the photo spontaneous or staged? How do you know?</u></p> <p>I think it’s staged, as the smartly dressed man is standing, waiting for the photo to be taken. The men are all sitting, staring straight ahead, and look to be too close together to be working.</p> <p><u>Can you tell from which time period it came? What clues give you that information?</u></p> <p>I think the image is from around the late 1800s to just after the turn of the century. The man has a bowler hat on, carries a cane/stick, and is wearing a three-piece suit. He is wearing fashion from around the 1870s (Matthews 2016) and is sporting a moustache that fits the time period. there are no lights hanging from the roof. I say before or around 1882 because electricity was supplied to Brisbane in 1882 (Scholz Electrical 2021).</p> <p><u>How is the image composed? What is in the background, and what is in the foreground?</u></p> <p>There are some tools and cloth in the foreground. The sewing machines are made prominent, placed in the centre of the picture.</p> </div>","C:\Users\Trudy\Zotero\storage\B7HV2AL7\Brisbane City Council - 1915 - Tailor's shop, St Helena Penal Establishment (1915.html",Clothing; Queensland; St Helena; Moreton Bay; prison; island; tools; warder; work; labour; uniform; tailor; shirt; pants; job,,"photo,  b&w",w233xh179
